locus_tag	ftype	length_bp	gene	EC_number	COG	product
JBCMMFKD_02078	CDS	642	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
JBCMMFKD_02079	CDS	717	rph	2.7.7.56		Ribonuclease PH
JBCMMFKD_02080	CDS	864				hypothetical protein
JBCMMFKD_02081	CDS	825				hypothetical protein
JBCMMFKD_02082	CDS	618				hypothetical protein
JBCMMFKD_02083	CDS	1683	ligB	6.5.1.2	COG0272	DNA ligase B
JBCMMFKD_02084	CDS	624	gmk	2.7.4.8	COG0194	Guanylate kinase
JBCMMFKD_02085	CDS	276	rpoZ	2.7.7.6	COG1758	DNA-directed RNA polymerase subunit omega
JBCMMFKD_02086	CDS	2109	spoT		COG0317	Bifunctional (p)ppGpp synthase/hydrolase SpoT
JBCMMFKD_02087	CDS	690	trmH_1	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
JBCMMFKD_02088	CDS	2082	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
JBCMMFKD_02089	CDS	867				hypothetical protein
JBCMMFKD_02090	CDS	1206	gltS		COG0786	Sodium/glutamate symporter
JBCMMFKD_02091	CDS	1392	xanP		COG2233	Xanthine permease XanP
JBCMMFKD_02092	CDS	1710				hypothetical protein
JBCMMFKD_02093	CDS	2319	yicI	3.2.1.177	COG1501	Alpha-xylosidase
JBCMMFKD_02094	CDS	1383	yicJ_1		COG2211	Inner membrane symporter YicJ
JBCMMFKD_02095	tRNA	95				tRNA-SeC(tca)
JBCMMFKD_02096	CDS	1185	intS_2		COG0582	Prophage integrase IntS
JBCMMFKD_02097	CDS	1044				hypothetical protein
JBCMMFKD_02098	CDS	1071	cytR_2		COG1609	HTH-type transcriptional repressor CytR
JBCMMFKD_02099	CDS	1302	exuT_2			Hexuronate transporter
JBCMMFKD_02100	CDS	2382				hypothetical protein
JBCMMFKD_02101	CDS	486				Single-stranded DNA-binding protein
JBCMMFKD_02102	CDS	1164				hypothetical protein
JBCMMFKD_02103	CDS	312				hypothetical protein
JBCMMFKD_02104	CDS	375				hypothetical protein
JBCMMFKD_02105	CDS	156				hypothetical protein
JBCMMFKD_02106	CDS	186				IS3 family transposase ISEc48
JBCMMFKD_02107	CDS	3498				hypothetical protein
JBCMMFKD_02108	CDS	1515	norR_3		COG3604	Anaerobic nitric oxide reductase transcription regulator NorR
JBCMMFKD_02109	CDS	1440	norV		COG0426	Anaerobic nitric oxide reductase flavorubredoxin
JBCMMFKD_02110	CDS	1134	norW	1.18.1.-	COG1251	Nitric oxide reductase FlRd-NAD(+) reductase
JBCMMFKD_02111	CDS	2253	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
JBCMMFKD_02112	CDS	528	hyfA_3	1.-.-.-	COG1142	Hydrogenase-4 component A
JBCMMFKD_02113	CDS	1014	ascG		COG1609	HTH-type transcriptional regulator AscG
JBCMMFKD_02114	CDS	1458	bglF_1		COG1263	PTS system beta-glucoside-specific EIIBCA component
JBCMMFKD_02115	CDS	1425	bglH_1	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
JBCMMFKD_02116	CDS	471	hycI	3.4.23.51	COG0680	Hydrogenase 3 maturation protease
JBCMMFKD_02117	CDS	411				hypothetical protein
JBCMMFKD_02118	CDS	768	hycG_2		COG3260	Formate hydrogenlyase subunit 7
JBCMMFKD_02119	CDS	543	ndhI_2	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
JBCMMFKD_02120	CDS	1710	hycE		COG3261	Formate hydrogenlyase subunit 5
JBCMMFKD_02121	CDS	924	hycD		COG0650	Formate hydrogenlyase subunit 4
JBCMMFKD_02122	CDS	1827	ndhB_3	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
JBCMMFKD_02123	CDS	612	hyfA_4	1.-.-.-	COG1142	Hydrogenase-4 component A
JBCMMFKD_02124	CDS	462	hycA			Formate hydrogenlyase regulatory protein HycA
JBCMMFKD_02125	CDS	351	hypA		COG0375	Hydrogenase maturation factor HypA
JBCMMFKD_02126	CDS	873	hypB		COG0378	Hydrogenase maturation factor HypB
JBCMMFKD_02127	CDS	273	hypC		COG0298	Hydrogenase maturation factor HypC
JBCMMFKD_02128	CDS	1122	hypD		COG0409	Hydrogenase maturation factor HypD
JBCMMFKD_02129	CDS	1011	hypE	4.2.1.-	COG0309	Carbamoyl dehydratase HypE
JBCMMFKD_02130	CDS	2079	fhlA		COG3604	Formate hydrogenlyase transcriptional activator FhlA
JBCMMFKD_02131	CDS	354				hypothetical protein
JBCMMFKD_02132	CDS	135				hypothetical protein
JBCMMFKD_02133	CDS	2562	mutS		COG0249	DNA mismatch repair protein MutS
JBCMMFKD_02134	CDS	657	pphB	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 2
JBCMMFKD_02135	CDS	768	glcR		COG1349	HTH-type transcriptional repressor GlcR
JBCMMFKD_02136	CDS	909	ltnD	1.1.1.411		L-threonate dehydrogenase
JBCMMFKD_02137	CDS	1263	otnK	2.7.1.217	COG3395	3-oxo-tetronate kinase
JBCMMFKD_02138	CDS	639	otnC	4.1.1.104		3-oxo-tetronate 4-phosphate decarboxylase
JBCMMFKD_02139	CDS	777	otnI	5.3.1.35	COG3622	2-oxo-tetronate isomerase
JBCMMFKD_02140	CDS	1365	ygbN		COG2610	Inner membrane permease YgbN
JBCMMFKD_02141	CDS	993	rpoS		COG0568	RNA polymerase sigma factor RpoS
JBCMMFKD_02142	CDS	1140	nlpD_2		COG0739	Murein hydrolase activator NlpD
JBCMMFKD_02143	CDS	627	pcm	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
JBCMMFKD_02144	CDS	762	surE	3.1.3.5	COG0496	5'/3'-nucleotidase SurE
JBCMMFKD_02145	CDS	1050	truD	5.4.99.27	COG0585	tRNA pseudouridine synthase D
JBCMMFKD_02146	CDS	480	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
JBCMMFKD_02147	CDS	711	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
JBCMMFKD_02148	CDS	312	ftsB		COG2919	Cell division protein FtsB
JBCMMFKD_02149	CDS	324	ygbE			Inner membrane protein YgbE
JBCMMFKD_02150	CDS	606	cysC	2.7.1.25	COG0529	Adenylyl-sulfate kinase
JBCMMFKD_02151	CDS	1428	cysN	2.7.7.4	COG2895	Sulfate adenylyltransferase subunit 1
JBCMMFKD_02152	CDS	909	cysD	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
JBCMMFKD_02153	CDS	1038				hypothetical protein
	repeat_region	273				
JBCMMFKD_02154	CDS	381				hypothetical protein
JBCMMFKD_02155	CDS	891	rarD		COG2962	Protein RarD
JBCMMFKD_02156	CDS	468				hypothetical protein
JBCMMFKD_02157	CDS	870	pldA	3.1.1.32	COG2829	Phospholipase A1
JBCMMFKD_02158	CDS	1836	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
JBCMMFKD_02159	CDS	621	rhtC_2		COG1280	Threonine efflux protein
JBCMMFKD_02160	CDS	621	rhtB		COG1280	Homoserine/homoserine lactone efflux protein
JBCMMFKD_02161	CDS	1023	pldB	3.1.1.5	COG2267	Lysophospholipase L2
JBCMMFKD_02162	CDS	801	yigL	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YigL
JBCMMFKD_02163	CDS	900	bioP		COG0697	Biotin transporter
JBCMMFKD_02164	CDS	954	metR			HTH-type transcriptional regulator MetR
JBCMMFKD_02165	CDS	2262	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
JBCMMFKD_02166	CDS	897	yahB_3			putative HTH-type transcriptional regulator YahB
JBCMMFKD_02167	CDS	1224	codB_2		COG1457	Cytosine permease
JBCMMFKD_02168	CDS	390	atzF	3.5.1.54		Allophanate hydrolase
JBCMMFKD_02169	CDS	957	arcC1_3	2.7.2.2		Carbamate kinase 1
JBCMMFKD_02170	CDS	1476				hypothetical protein
JBCMMFKD_02171	CDS	1560	fdrA_2		COG0074	Protein FdrA
JBCMMFKD_02172	CDS	861				hypothetical protein
JBCMMFKD_02173	CDS	669	rutB_2	3.5.1.110	COG1335	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
JBCMMFKD_02174	CDS	96				hypothetical protein
JBCMMFKD_02175	CDS	810	clcD	3.1.1.45		Carboxymethylenebutenolidase
JBCMMFKD_02176	CDS	765	udp	2.4.2.3	COG2820	Uridine phosphorylase
JBCMMFKD_02177	CDS	1491				hypothetical protein
JBCMMFKD_02178	CDS	507				hypothetical protein
JBCMMFKD_02179	CDS	975				hypothetical protein
JBCMMFKD_02180	CDS	630	dgoA_2	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
JBCMMFKD_02181	CDS	1005	dgoK1_2	2.7.1.58	COG3734	putative 2-dehydro-3-deoxygalactonokinase DgoK1
JBCMMFKD_02182	CDS	768	xynR		COG1414	HTH-type transcriptional regulator XynR
JBCMMFKD_02183	CDS	1428				hypothetical protein
JBCMMFKD_02184	CDS	756	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
JBCMMFKD_02185	CDS	606	ubiJ_2		COG3165	Ubiquinone biosynthesis accessory factor UbiJ
JBCMMFKD_02186	CDS	1641	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
JBCMMFKD_02187	CDS	270	tatA		COG1826	Sec-independent protein translocase protein TatA
JBCMMFKD_02188	CDS	516	tatB		COG1826	Sec-independent protein translocase protein TatB
JBCMMFKD_02189	CDS	777	tatC		COG0805	Sec-independent protein translocase protein TatC
JBCMMFKD_02190	CDS	783	tatD	3.1.11.-	COG0084	3'-5' ssDNA/RNA exonuclease TatD
JBCMMFKD_02191	CDS	489	rfaH		COG0250	Transcription antitermination protein RfaH
JBCMMFKD_02192	CDS	1494	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
JBCMMFKD_02193	CDS	702	fre	1.5.1.41	COG0543	NAD(P)H-flavin reductase
JBCMMFKD_02194	CDS	1164	fadA	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadA
JBCMMFKD_02195	CDS	2190	fadB		COG1024	Fatty acid oxidation complex subunit alpha
JBCMMFKD_02196	CDS	1332	pepQ	3.4.13.9	COG0006	Xaa-Pro dipeptidase
JBCMMFKD_02197	CDS	615	yigZ		COG1739	IMPACT family member YigZ
JBCMMFKD_02198	CDS	1452	trkH		COG0168	Trk system potassium uptake protein TrkH
JBCMMFKD_02199	CDS	546	hemG	1.3.5.3	COG4635	Protoporphyrinogen IX dehydrogenase [menaquinone]
JBCMMFKD_02200	CDS	444	yjaB	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YjaB
JBCMMFKD_02201	CDS	930	metAS	2.3.1.46	COG1897	Homoserine O-succinyltransferase
JBCMMFKD_02202	CDS	1602	aceB	2.3.3.9	COG2225	Malate synthase A
JBCMMFKD_02203	CDS	1305	aceA	4.1.3.1	COG2224	Isocitrate lyase
JBCMMFKD_02204	CDS	1737	aceK	2.7.11.5	COG4579	Isocitrate dehydrogenase kinase/phosphatase
JBCMMFKD_02205	CDS	534				hypothetical protein
JBCMMFKD_02206	CDS	912				hypothetical protein
JBCMMFKD_02207	CDS	825	iclR		COG1414	Transcriptional repressor IclR
JBCMMFKD_02208	CDS	3684	metH	2.1.1.13	COG0646	Methionine synthase
JBCMMFKD_02209	CDS	1632				hypothetical protein
JBCMMFKD_02210	CDS	690	pepE	3.4.13.21	COG3340	Peptidase E
JBCMMFKD_02211	CDS	873	rluF	5.4.99.-	COG1187	Dual-specificity RNA pseudouridine synthase RluF
JBCMMFKD_02212	CDS	273				hypothetical protein
JBCMMFKD_02213	CDS	1350	lysC	2.7.2.4	COG0527	Lysine-sensitive aspartokinase 3
JBCMMFKD_02214	CDS	1650	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
JBCMMFKD_02215	CDS	243				hypothetical protein
JBCMMFKD_02216	CDS	639	gfcB_2			putative lipoprotein GfcB
JBCMMFKD_02217	CDS	738				hypothetical protein
JBCMMFKD_02218	CDS	2097				hypothetical protein
JBCMMFKD_02219	CDS	411	psiE		COG3223	Protein PsiE
JBCMMFKD_02220	CDS	1476	xylE			D-xylose-proton symporter
JBCMMFKD_02221	CDS	891	malG		COG3833	Maltose/maltodextrin transport system permease protein MalG
JBCMMFKD_02222	CDS	1545	malF		COG1175	Maltose/maltodextrin transport system permease protein MalF
JBCMMFKD_02223	CDS	1191	malE		COG2182	Maltose/maltodextrin-binding periplasmic protein
JBCMMFKD_02224	CDS	96				hypothetical protein
JBCMMFKD_02225	CDS	1116	malK	7.5.2.1		Maltose/maltodextrin import ATP-binding protein MalK
JBCMMFKD_02226	CDS	1341	lamB		COG4580	Maltoporin
JBCMMFKD_02227	CDS	921				hypothetical protein
JBCMMFKD_02228	CDS	153				hypothetical protein
JBCMMFKD_02229	CDS	195				hypothetical protein
JBCMMFKD_02230	CDS	1329	sopA	2.3.2.26		E3 ubiquitin-protein ligase SopA
JBCMMFKD_02231	CDS	498	ubiC	4.1.3.40	COG3161	Chorismate pyruvate-lyase
JBCMMFKD_02232	CDS	873	ubiA	2.5.1.39	COG0382	4-hydroxybenzoate octaprenyltransferase
JBCMMFKD_02233	CDS	2424	plsB	2.3.1.15	COG2937	Glycerol-3-phosphate acyltransferase
JBCMMFKD_02234	CDS	369	dgkA	2.7.1.107	COG0818	Diacylglycerol kinase
JBCMMFKD_02235	CDS	609	lexA	3.4.21.88	COG1974	LexA repressor
JBCMMFKD_02236	CDS	1326	dinF		COG0534	DNA damage-inducible protein F
JBCMMFKD_02237	CDS	210				hypothetical protein
JBCMMFKD_02238	CDS	516	zur		COG0735	Zinc uptake regulation protein
JBCMMFKD_02239	tRNA	76				tRNA-His(gtg)
JBCMMFKD_02240	tRNA	77				tRNA-Arg(ccg)
JBCMMFKD_02241	CDS	1386	yifK		COG1113	putative transport protein YifK
JBCMMFKD_02242	CDS	741	wecG	2.4.1.180	COG1922	UDP-N-acetyl-D-mannosaminuronic acid transferase
JBCMMFKD_02243	CDS	1353	wzyE			putative ECA polymerase
JBCMMFKD_02244	CDS	1080	wecF	2.4.1.325		TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase
JBCMMFKD_02245	CDS	1251	wzxE		COG2244	Lipid III flippase
JBCMMFKD_02246	CDS	1131	wecE	2.6.1.59	COG0399	dTDP-4-amino-4,6-dideoxygalactose transaminase
JBCMMFKD_02247	CDS	675	wecD	2.3.1.210	COG0454	dTDP-fucosamine acetyltransferase
JBCMMFKD_02248	CDS	882	rffH	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 2
JBCMMFKD_02249	CDS	1068	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
JBCMMFKD_02250	CDS	1263	wecC	1.1.1.336	COG0677	UDP-N-acetyl-D-mannosamine dehydrogenase
JBCMMFKD_02251	CDS	1131	wecB	5.1.3.14	COG0381	UDP-N-acetylglucosamine 2-epimerase
JBCMMFKD_02252	CDS	1047	wzzE		COG3765	ECA polysaccharide chain length modulation protein
JBCMMFKD_02253	CDS	1104	wecA	2.7.8.33	COG0472	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
JBCMMFKD_02254	CDS	219				hypothetical protein
JBCMMFKD_02255	CDS	1260	rho	3.6.4.-	COG1158	Transcription termination factor Rho
JBCMMFKD_02256	CDS	330	trxA		COG0526	Thioredoxin 1
JBCMMFKD_02257	CDS	1266	rhlB	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlB
JBCMMFKD_02258	CDS	1485	gppA	3.6.1.40	COG0248	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
JBCMMFKD_02259	CDS	2022	rep	3.6.4.12	COG0210	ATP-dependent DNA helicase Rep
JBCMMFKD_02260	CDS	219				hypothetical protein
JBCMMFKD_02261	CDS	282	ppiC	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
JBCMMFKD_02262	CDS	1476	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
JBCMMFKD_02263	CDS	894	gltC_1			HTH-type transcriptional regulator GltC
JBCMMFKD_02264	CDS	1548	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
JBCMMFKD_02265	CDS	1851	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
JBCMMFKD_02266	CDS	930	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
JBCMMFKD_02267	CDS	264	ilvM	2.2.1.6	COG3978	Acetolactate synthase isozyme 2 small subunit
JBCMMFKD_02268	CDS	1647	ilvG	2.2.1.6		Acetolactate synthase isozyme 2 large subunit
JBCMMFKD_02269	CDS	1521	comM		COG0606	Competence protein ComM
JBCMMFKD_02270	CDS	339				hypothetical protein
JBCMMFKD_02271	CDS	840	hdfR_2			HTH-type transcriptional regulator HdfR
JBCMMFKD_02272	tRNA	76				tRNA-Trp(cca)
JBCMMFKD_02273	tRNA	77				tRNA-Asp(gtc)
JBCMMFKD_02274	CDS	741	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
JBCMMFKD_02275	CDS	468	rnhA	3.1.26.4	COG0328	Ribonuclease HI
JBCMMFKD_02276	CDS	723				hypothetical protein
JBCMMFKD_02277	CDS	756	gloB	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloB
JBCMMFKD_02278	CDS	1221	mltD	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase D
JBCMMFKD_02279	CDS	624	ycgJ	2.1.1.-		putative methyltransferase YcgJ
JBCMMFKD_02280	CDS	780				hypothetical protein
JBCMMFKD_02281	CDS	915	dmlR_1			HTH-type transcriptional regulator DmlR
JBCMMFKD_02282	CDS	804	dkgB	1.1.1.346	COG0656	2,5-diketo-D-gluconic acid reductase B
JBCMMFKD_02283	tRNA	77				tRNA-Asp(gtc)
JBCMMFKD_02284	rRNA	111				5S ribosomal RNA
JBCMMFKD_02285	CDS	570				hypothetical protein
JBCMMFKD_02286	CDS	1230	yqeG		COG0814	Inner membrane transport protein YqeG
JBCMMFKD_02287	CDS	1182	thlA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
JBCMMFKD_02288	CDS	837	kduI	5.3.1.17	COG3717	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
JBCMMFKD_02289	CDS	762	kduD_1	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
JBCMMFKD_02290	CDS	1419	araE			Arabinose-proton symporter
JBCMMFKD_02291	CDS	693	ygeA	5.1.1.13		L-aspartate/glutamate-specific racemase
JBCMMFKD_02292	CDS	936	occR			Octopine catabolism/uptake operon regulatory protein OccR
JBCMMFKD_02293	CDS	1263	lysA	4.1.1.20		Diaminopimelate decarboxylase
JBCMMFKD_02294	CDS	1032	galR		COG1609	HTH-type transcriptional regulator GalR
JBCMMFKD_02295	CDS	2160	aas		COG0204	Bifunctional protein Aas
JBCMMFKD_02296	CDS	1194	lplT			Lysophospholipid transporter LplT
JBCMMFKD_02297	CDS	1041	tas		COG0667	Protein tas
JBCMMFKD_02298	CDS	219	ygdR_1			putative lipoprotein YgdR
JBCMMFKD_02299	CDS	714				hypothetical protein
JBCMMFKD_02300	CDS	690	mutH		COG3066	DNA mismatch repair protein MutH
JBCMMFKD_02301	CDS	147				hypothetical protein
JBCMMFKD_02302	CDS	531	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
JBCMMFKD_02303	CDS	2247	ptsP	2.7.3.9	COG3605	Phosphoenolpyruvate-dependent phosphotransferase system
JBCMMFKD_02304	CDS	876	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
JBCMMFKD_02305	CDS	795	thyA	2.1.1.45	COG0207	Thymidylate synthase
JBCMMFKD_02306	CDS	471				hypothetical protein
JBCMMFKD_02307	CDS	564				hypothetical protein
JBCMMFKD_02308	CDS	408				hypothetical protein
JBCMMFKD_02309	CDS	324				hypothetical protein
JBCMMFKD_02310	CDS	3369	recC	3.1.11.5	COG1330	RecBCD enzyme subunit RecC
JBCMMFKD_02311	CDS	2889	ptrA	3.4.24.55	COG1025	Protease 3
JBCMMFKD_02312	CDS	3543	recB	3.1.11.5	COG1074	RecBCD enzyme subunit RecB
JBCMMFKD_02313	CDS	1827	recD	3.1.11.5	COG0507	RecBCD enzyme subunit RecD
JBCMMFKD_02314	CDS	1332	argA	2.3.1.1	COG0548	Amino-acid acetyltransferase
JBCMMFKD_02315	CDS	1254	amiC	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
JBCMMFKD_02316	tRNA	77				tRNA-Met(cat)
JBCMMFKD_02317	CDS	663	acrR_2		COG1309	HTH-type transcriptional regulator AcrR
JBCMMFKD_02318	CDS	180				hypothetical protein
JBCMMFKD_02319	CDS	885	yhdJ	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ
JBCMMFKD_02320	CDS	297	fis		COG2901	DNA-binding protein Fis
JBCMMFKD_02321	CDS	873	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
JBCMMFKD_02322	CDS	882	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
JBCMMFKD_02323	CDS	1452	panF		COG4145	Sodium/pantothenate symporter
JBCMMFKD_02324	CDS	243	yhdT		COG3924	putative membrane protein YhdT
JBCMMFKD_02325	CDS	1350	accC	6.3.4.14	COG0439	Biotin carboxylase
JBCMMFKD_02326	CDS	471	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
JBCMMFKD_02327	CDS	975	acuI	1.3.1.84	COG0604	putative acrylyl-CoA reductase AcuI
JBCMMFKD_02328	CDS	1941	csrD			RNase E specificity factor CsrD
JBCMMFKD_02329	CDS	1044	mreB		COG1077	Cell shape-determining protein MreB
JBCMMFKD_02330	CDS	1104	mreC		COG1792	Cell shape-determining protein MreC
JBCMMFKD_02331	CDS	489	mreD		COG2891	Rod shape-determining protein MreD
JBCMMFKD_02332	CDS	594	yhdE	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
JBCMMFKD_02333	CDS	1470	rng	3.1.26.-	COG1530	Ribonuclease G
JBCMMFKD_02334	CDS	3801				hypothetical protein
JBCMMFKD_02335	CDS	1446	tldD	3.4.-.-	COG0312	Metalloprotease TldD
JBCMMFKD_02336	CDS	930	dmlR_2			HTH-type transcriptional regulator DmlR
JBCMMFKD_02337	CDS	204	aaeX			Protein AaeX
JBCMMFKD_02338	CDS	933	aaeA_2		COG1566	p-hydroxybenzoic acid efflux pump subunit AaeA
JBCMMFKD_02339	CDS	1968	aaeB_2		COG1289	p-hydroxybenzoic acid efflux pump subunit AaeB
JBCMMFKD_02340	CDS	273	yhcO		COG2732	putative protein YhcO
JBCMMFKD_02341	CDS	264				hypothetical protein
JBCMMFKD_02342	CDS	471	argR		COG1438	Arginine repressor
JBCMMFKD_02343	CDS	939	mdh_1	1.1.1.37	COG0039	Malate dehydrogenase
JBCMMFKD_02344	CDS	1068	degS	3.4.21.107	COG0265	Serine endoprotease DegS
JBCMMFKD_02345	CDS	1368	degQ	3.4.21.107	COG0265	Periplasmic pH-dependent serine endoprotease DegQ
JBCMMFKD_02346	CDS	399	yhcB		COG3105	Inner membrane protein YhcB
JBCMMFKD_02347	CDS	1128	zapE		COG1485	Cell division protein ZapE
JBCMMFKD_02348	CDS	429	rplM		COG0102	50S ribosomal protein L13
JBCMMFKD_02349	CDS	393	rpsI		COG0103	30S ribosomal protein S9
JBCMMFKD_02350	CDS	639	sspA		COG0625	Stringent starvation protein A
JBCMMFKD_02351	CDS	498	sspB		COG2969	Stringent starvation protein B
JBCMMFKD_02352	CDS	1368	dcuD_1		COG3069	Putative cryptic C4-dicarboxylate transporter DcuD
JBCMMFKD_02353	CDS	2352	ygjK	3.2.1.-		Glucosidase YgjK
JBCMMFKD_02354	CDS	2019	fadH	1.3.1.34	COG0446	2,4-dienoyl-CoA reductase
JBCMMFKD_02355	CDS	417	higA		COG5499	Antitoxin HigA
JBCMMFKD_02356	CDS	315	higB	3.1.-.-	COG4680	mRNA interferase HigB
JBCMMFKD_02357	CDS	1137	rlmG	2.1.1.174	COG2813	Ribosomal RNA large subunit methyltransferase G
JBCMMFKD_02358	CDS	504	ygjP	3.6.1.-	COG1451	UTP pyrophosphatase
JBCMMFKD_02359	CDS	693				hypothetical protein
JBCMMFKD_02360	CDS	987	iolU	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
JBCMMFKD_02361	CDS	966	alx		COG0861	Putative membrane-bound redox modulator Alx
JBCMMFKD_02362	CDS	1245	sstT		COG3633	Serine/threonine transporter SstT
JBCMMFKD_02363	CDS	552	ygjV			Inner membrane protein YgjV
JBCMMFKD_02364	CDS	1488	uxaA	4.2.1.7	COG2721	Altronate dehydratase
JBCMMFKD_02365	CDS	1413	uxaC	5.3.1.12	COG1904	Uronate isomerase
JBCMMFKD_02366	CDS	1299	exuT_3			Hexuronate transporter
JBCMMFKD_02367	CDS	777	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
JBCMMFKD_02368	CDS	663	yqjA		COG0586	Inner membrane protein YqjA
JBCMMFKD_02369	CDS	384	mzrA			Modulator protein MzrA
JBCMMFKD_02370	CDS	369	yqjC			Protein YqjC
JBCMMFKD_02371	CDS	306	yqjD		COG4575	putative protein YqjD
JBCMMFKD_02372	CDS	405	yqjE		COG5393	Inner membrane protein YqjE
JBCMMFKD_02373	CDS	300				hypothetical protein
JBCMMFKD_02374	CDS	393	yqjF		COG2259	Inner membrane protein YqjF
JBCMMFKD_02375	CDS	987	yqjG	1.8.5.7	COG0435	Glutathionyl-hydroquinone reductase YqjG
JBCMMFKD_02376	CDS	366	yhaH		COG3152	Inner membrane protein YhaH
JBCMMFKD_02377	CDS	357	yhaI		COG3152	Inner membrane protein YhaI
JBCMMFKD_02378	CDS	897	yhaJ_1			HTH-type transcriptional regulator YhaJ
JBCMMFKD_02379	CDS	702	yhaK		COG1741	Pirin-like protein YhaK
JBCMMFKD_02380	CDS	165				hypothetical protein
JBCMMFKD_02381	CDS	1311				hypothetical protein
JBCMMFKD_02382	CDS	1332	dlsT		COG0814	putative serine transporter
JBCMMFKD_02383	CDS	1365	tdcG	4.3.1.17	COG1760	L-serine dehydratase TdcG
JBCMMFKD_02384	CDS	390	tdcF	3.5.4.-	COG0251	Putative reactive intermediate deaminase TdcF
JBCMMFKD_02385	CDS	2295	tdcE	2.3.1.-	COG1882	PFL-like enzyme TdcE
JBCMMFKD_02386	CDS	1209	tdcD	2.7.2.15	COG0282	Propionate kinase
JBCMMFKD_02387	CDS	1332	tdcC		COG0814	Threonine/serine transporter TdcC
JBCMMFKD_02388	CDS	990	tdcB	4.3.1.19	COG1171	L-threonine dehydratase catabolic TdcB
JBCMMFKD_02389	CDS	939	tsaR_2			HTH-type transcriptional regulator TsaR
JBCMMFKD_02390	CDS	492				hypothetical protein
JBCMMFKD_02391	CDS	693	rfaY	2.7.1.-		Lipopolysaccharide core heptose(II) kinase RfaY
JBCMMFKD_02392	CDS	1026	gspA_1		COG1442	General stress protein A
JBCMMFKD_02393	CDS	984	arnC_2	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
JBCMMFKD_02394	CDS	1254	rfaL			O-antigen ligase
JBCMMFKD_02395	CDS	981	rfaC	2.-.-.-	COG0859	Lipopolysaccharide heptosyltransferase 1
